"","GEOID","NAME","BOROUGH","eviction_19","eviction_23","population_renter","median_rent","white","black","asian","hispanic","median_inc","eviction_rate_19","eviction_rate_23","geometry","race","change_rate","change_number","change"
"25",47109800,"Census Tract 1098, Kings County, New York","BROOKLYN",4,4,1528,1816,0.0695067264573991,0.688340807174888,0,0.114349775784753,52886,0.00261780104712042,0.00261780104712042,"list(list(c(-73.909449, -73.908558, -73.907856, -73.906916, -73.903173, -73.900303, -73.899967, -73.899041, -73.898807, -73.89611, -73.895382, -73.893547, -73.89761, -73.895861, -73.897943, -73.900892, -73.903982, -73.9058, -73.907615, -73.908681, -73.909449, 40.651522, 40.652096, 40.654589, 40.654732, 40.655301, 40.657263, 40.657285, 40.657372, 40.657407, 40.657754, 40.65772, 40.655202, 40.653454, 40.651881, 40.650515, 40.648641, 40.646629, 40.648265, 40.649896, 40.650717, 40.651522)))","black",0,0,0
"26",81109900,"Census Tract 1099, Queens County, New York","QUEENS",1,1,817,1611,0.484330484330484,0.0227920227920228,0.00854700854700855,0.150997150997151,88393,0.00122399020807834,0.00122399020807834,"list(list(c(-73.791902, -73.788434, -73.78756, -73.783727, -73.782148, -73.78146, -73.781846, -73.783604, -73.788075, -73.789636, -73.791902, 40.768936, 40.769968, 40.770226, 40.771361, 40.768354, 40.767066, 40.766956, 40.766452, 40.764199, 40.766142, 40.768936)))","white",0,0,0
"27",85001100,"Census Tract 11, Richmond County, New York","STATEN ISLAND",8,9,1723,1746,0.182228915662651,0.224397590361446,0.0286144578313253,0.515060240963855,49539,0.00464306442251886,0.00522344747533372,"list(list(c(-74.087542, -74.087206, -74.082282, -74.081927, -74.081101, -74.081473, -74.078846, -74.077899, -74.078132, -74.078788, -74.080552, -74.08178, -74.083734, -74.085879, -74.087279, -74.087542, 40.638449, 40.639896, 40.640601, 40.639871, 40.639922, 40.641512, 40.641995, 40.638094, 40.638172, 40.638269, 40.63732, 40.636623, 40.635737, 40.636692, 40.637812, 40.638449)))","hispanic",0.000580383052814858,1,0.125
"28",47011000,"Census Tract 110, Kings County, New York","BROOKLYN",1,2,1210,1583,0.27639751552795,0,0,0.484472049689441,60083,0.000826446280991736,0.00165289256198347,"list(list(c(-73.995683, -73.995096, -73.993985, -73.989059, -73.990497, -73.991213, -73.991929, -73.994077, -73.996266, -73.995683, 40.645385, 40.645946, 40.647101, 40.644119, 40.643164, 40.642686, 40.642205, 40.643503, 40.644827, 40.645385)))","hispanic",0.000826446280991736,1,1
"29",61011000,"Census Tract 110, New York County, New York","MANHATTAN",3,6,5825,3037,0.777341389728097,0.0117824773413897,0,0.0915407854984894,144430,0.000515021459227468,0.00103004291845494,"list(list(c(-73.96567, -73.965214, -73.964755, -73.964299, -73.962064, -73.959695, -73.96015, -73.960607, -73.961068, -73.961966, -73.963556, -73.964314, -73.966583, -73.96567, 40.762805, 40.763432, 40.764058, 40.764683, 40.763735, 40.76274, 40.762115, 40.761488, 40.760858, 40.759619, 40.760281, 40.760599, 40.761552, 40.762805)))","white",0.000515021459227468,3,1
"30",81011000,"Census Tract 110, Queens County, New York","QUEENS",2,1,1753,1683,0,0.201793721973094,0,0.423766816143498,85833,0.00114090131203651,0.000570450656018254,"list(list(c(-73.838106, -73.836346, -73.836044, -73.835151, -73.833726, -73.832743, -73.831723, -73.835951, -73.836936, -73.837278, -73.838106, 40.688433, 40.688928, 40.690353, 40.690598, 40.68776, 40.688042, 40.686051, 40.684844, 40.686843, 40.686747, 40.688433)))","hispanic",-0.000570450656018254,-1,-0.5
"31",47110400,"Census Tract 1104, Kings County, New York","BROOKLYN",2,7,3011,1160,0,0.758104738154613,0,0.182876142975894,41949,0.00066423115244105,0.00232480903354367,"list(list(c(-73.896167, -73.893279, -73.891649, -73.890015, -73.888385, -73.886814, -73.881856, -73.880892, -73.884131, -73.882912, -73.884582, -73.887786, -73.886689, -73.885681, -73.884653, -73.886282, -73.889994, -73.891366, -73.893547, -73.895382, -73.89611, -73.896167, 40.657974, 40.65923, 40.659933, 40.660636, 40.661338, 40.662014, 40.66415, 40.662834, 40.661433, 40.659781, 40.659061, 40.657683, 40.656205, 40.65485, 40.653451, 40.652756, 40.651138, 40.652365, 40.655202, 40.65772, 40.657754, 
40.657974)))","black",0.00166057788110262,5,2.5
"32",47110600,"Census Tract 1106, Kings County, New York","BROOKLYN",15,6,4994,708,0.00736067297581493,0.669295478443743,0,0.329127234490011,28000,0.00300360432519023,0.00120144173007609,"list(list(c(-73.887786, -73.884582, -73.882912, -73.881826, -73.880813, -73.882511, -73.885681, -73.886689, -73.887786, 40.657683, 40.659061, 40.659781, 40.658308, 40.656945, 40.656213, 40.65485, 40.656205, 40.657683)))","black",-0.00180216259511414,-9,-0.6
"33",61011100,"Census Tract 111, New York County, New York","MANHATTAN",3,11,3976,3167,0.489830508474576,0.038135593220339,0.00932203389830509,0.161016949152542,109868,0.000754527162977867,0.00276659959758551,"list(list(c(-73.998208, -73.997306, -73.994468, -73.991633, -73.992079, -73.992528, -73.993464, -73.996304, -73.999143, -73.998208, 40.755869, 40.75711, 40.755909, 40.754707, 40.754091, 40.753474, 40.75219, 40.753389, 40.754585, 40.755869)))","white",0.00201207243460765,8,2.66666666666667
"34",47111600,"Census Tract 1116, Kings County, New York","BROOKLYN",11,3,1921,1357,0,0.866454689984102,0,0.0906200317965024,72472,0.00572618427902134,0.00156168662155128,"list(list(c(-73.881856, -73.876953, -73.873688, -73.872841, -73.871875, -73.869485, -73.878592, -73.879683, -73.880892, -73.881856, 40.66415, 40.666259, 40.667665, 40.668032, 40.666764, 40.663546, 40.659701, 40.66117, 40.662834, 40.66415)))","black",-0.00416449765747007,-8,-0.727272727272727
"35",47111800,"Census Tract 1118, Kings County, New York","BROOKLYN",9,5,2940,1409,0.0217155266015201,0.526601520086862,0,0.409337676438654,75299,0.00306122448979592,0.00170068027210884,"list(list(c(-73.878871, -73.874231, -73.8738, -73.872841, -73.873688, -73.876953, -73.878378, -73.878489, -73.878871, 40.670195, 40.670863, 40.669335, 40.668032, 40.667665, 40.666259, 40.668234, 40.668655, 40.670195)))","black",-0.00136054421768707,-4,-0.444444444444444
"36",47011200,"Census Tract 112, Kings County, New York","BROOKLYN",6,2,4583,1334,0.343599033816425,0.018719806763285,0.0072463768115942,0.420893719806763,45833,0.0013091861226271,0.000436395374209033,"list(list(c(-73.998011, -73.997426, -73.996844, -73.996266, -73.994077, -73.991929, -73.992644, -73.994077, -73.994331, -73.994795, -73.99551, -73.996974, -73.999176, -73.998011, 40.643147, 40.643706, 40.644266, 40.644827, 40.643503, 40.642205, 40.641728, 40.64077, 40.6406, 40.640288, 40.63981, 40.640694, 40.642026, 40.643147)))","hispanic",-0.000872790748418067,-4,-0.666666666666667
"37",61011201,"Census Tract 112.01, New York County, New York","MANHATTAN",1,1,622,2800,0.771341463414634,0.0457317073170732,0,0.0121951219512195,184200,0.00160771704180064,0.00160771704180064,"list(list(c(-73.977196, -73.976703, -73.976234, -73.973015, -73.974457, -73.977686, -73.977196, 40.764324, 40.764996, 40.765675, 40.764279, 40.762293, 40.763645, 40.764324)))","white",0,0,0
"38",61011203,"Census Tract 112.03, New York County, New York","MANHATTAN",2,1,589,3138,0.943521594684385,0,0,0,182014,0.0033955857385399,0.00169779286926995,"list(list(c(-73.969801, -73.968187, -73.966583, -73.967533, -73.968024, -73.969625, -73.971243, -73.969801, 40.762914, 40.762227, 40.761552, 40.760255, 40.759578, 40.760251, 40.760937, 40.762914)))","white",-0.00169779286926995,-1,-0.5
"39",47112000,"Census Tract 1120, Kings County, New York","BROOKLYN",8,1,2128,1232,0,0.636245110821382,0,0.508474576271186,54706,0.0037593984962406,0.000469924812030075,"list(list(c(-73.883597, -73.882782, -73.878489, -73.878378, -73.876953, -73.881856, -73.883309, -73.883152, -73.883597, 40.667905, 40.668026, 40.668655, 40.668234, 40.666259, 40.66415, 40.666112, 40.666181, 40.667905)))","black",-0.00328947368421053,-7,-0.875
"40",47112200,"Census Tract 1122, Kings County, New York","BROOKLYN",12,5,2030,1647,0,0.573708920187793,0,0.354929577464789,22734,0.00591133004926108,0.00246305418719212,"list(list(c(-73.889907, -73.888108, -73.885563, -73.883309, -73.881856, -73.886814, -73.888385, -73.889785, -73.889907, 40.663778, 40.664047, 40.665141, 40.666112, 40.66415, 40.662014, 40.661338, 40.663295, 40.663778)))","black",-0.00344827586206897,-7,-0.583333333333333
"41",47112400,"Census Tract 1124, Kings County, New York","BROOKLYN",10,6,2630,1390,0.0241492864983535,0.793633369923161,0,0.216245883644347,44875,0.00380228136882129,0.00228136882129278,"list(list(c(-73.890694, -73.88977, -73.888889, -73.886183, -73.883597, -73.883152, -73.883309, -73.885563, -73.888108, -73.889907, -73.890694, 40.666852, 40.66699, 40.66712, 40.667521, 40.667905, 40.666181, 40.666112, 40.665141, 40.664047, 40.663778, 40.666852)))","black",-0.00152091254752852,-4,-0.4
"42",47112600,"Census Tract 1126, Kings County, New York","BROOKLYN",11,14,3210,1520,0,0.699155794320798,0,0.269378357636224,49311,0.00342679127725857,0.0043613707165109,"list(list(c(-73.896316, -73.894439, -73.893446, -73.892526, -73.890694, -73.889907, -73.891738, -73.89365, -73.895531, -73.895921, -73.896316, 40.666019, 40.666297, 40.666446, 40.666581, 40.666852, 40.663778, 40.663507, 40.663223, 40.662945, 40.664471, 40.666019)))","black",0.000934579439252336,3,0.272727272727273
"43",47112800,"Census Tract 1128, Kings County, New York","BROOKLYN",10,12,2817,1402,0,0.919517102615694,0,0.113682092555332,40063,0.0035498757543486,0.00425985090521832,"list(list(c(-73.895531, -73.89365, -73.891738, -73.889907, -73.889785, -73.888385, -73.890015, -73.891649, -73.893279, -73.89469, -73.895151, -73.895531, 40.662945, 40.663223, 40.663507, 40.663778, 40.663295, 40.661338, 40.660636, 40.659933, 40.65923, 40.661126, 40.661314, 40.662945)))","black",0.00070997515086972,2,0.2
"44",61011300,"Census Tract 113, New York County, New York","MANHATTAN",3,2,20,2250,0.75,0,0,0,81667,0.15,0.1,"list(list(c(-73.991177, -73.990726, -73.989791, -73.986949, -73.984118, -73.985043, -73.985947, -73.988787, -73.991633, -73.991177, 40.75533, 40.755951, 40.757234, 40.756036, 40.754842, 40.753554, 40.752317, 40.753517, 40.754707, 40.75533)))","white",-0.05,-1,-0.333333333333333
"45",81011300,"Census Tract 113, Queens County, New York","QUEENS",1,2,3272,2120,0.642909625275533,0.0293901542983101,0,0.204261572373255,107609,0.000305623471882641,0.000611246943765281,"list(list(c(-73.912383, -73.910147, -73.908465, -73.906677, -73.905955, -73.904553, -73.906788, -73.908189, -73.908903, -73.909617, -73.910698, -73.912383, 40.77731, 40.77915, 40.777961, 40.776696, 40.776188, 40.775196, 40.773367, 40.774358, 40.774861, 40.775366, 40.776132, 40.77731)))","white",0.000305623471882641,1,1
"46",47113000,"Census Tract 1130, Kings County, New York","BROOKLYN",11,13,2532,1043,0.0536585365853659,0.706341463414634,0.0175609756097561,0.240975609756098,47700,0.00434439178515008,0.00513428120063191,"list(list(c(-73.899076, -73.897233, -73.896316, -73.895921, -73.895531, -73.895151, -73.89469, -73.893279, -73.896167, -73.896975, -73.897896, -73.89829, -73.89868, -73.899076, 40.665608, 40.665878, 40.666019, 40.664471, 40.662945, 40.661314, 40.661126, 40.65923, 40.657974, 40.661135, 40.660999, 40.662534, 40.664062, 40.665608)))","black",0.000789889415481832,2,0.181818181818182
"47",47113200,"Census Tract 1132, Kings County, New York","BROOKLYN",3,4,1316,1291,0,0.8,0,0.2,50149,0.00227963525835866,0.00303951367781155,"list(list(c(-73.901451, -73.900417, -73.900851, -73.899076, -73.89868, -73.89829, -73.897896, -73.896975, -73.896167, -73.89611, -73.898807, -73.899217, -73.899652, -73.900661, -73.901053, -73.901451, 40.663659, 40.663806, 40.665346, 40.665608, 40.664062, 40.662534, 40.660999, 40.661135, 40.657974, 40.657754, 40.657407, 40.659112, 40.660735, 40.660587, 40.662125, 40.663659)))","black",0.000759878419452888,1,0.333333333333333
"48",47113400,"Census Tract 1134, Kings County, New York","BROOKLYN",5,3,1978,687,0.0183908045977011,0.752873563218391,0,0.23448275862069,27059,0.00252780586450961,0.00151668351870576,"list(list(c(-73.901982, -73.900183, -73.898341, -73.89802, -73.897633, -73.897233, -73.899076, -73.900851, -73.901668, -73.901982, 40.66967, 40.669939, 40.670212, 40.668958, 40.667419, 40.665878, 40.665608, 40.665346, 40.668413, 40.66967)))","black",-0.00101112234580384,-2,-0.4
"49",61011402,"Census Tract 114.02, New York County, New York","MANHATTAN",2,1,686,2905,0.886842105263158,0.0263157894736842,0.0289473684210526,0.05,204000,0.00291545189504373,0.00145772594752187,"list(list(c(-73.969801, -73.967974, -73.966359, -73.964755, -73.965214, -73.96567, -73.966583, -73.968187, -73.969801, 40.762914, 40.765413, 40.764732, 40.764058, 40.763432, 40.762805, 40.761552, 40.762227, 40.762914)))","white",-0.00145772594752187,-1,-0.5
"50",85011402,"Census Tract 114.02, Richmond County, New York","STATEN ISLAND",2,3,922,1677,0.728900255754476,0.0230179028132992,0,0.179028132992327,88781,0.00216919739696312,0.00325379609544469,"list(list(c(-74.109248, -74.105259, -74.102789, -74.102497, -74.09844, -74.100391, -74.10167, -74.10369, -74.104959, -74.10711, -74.108795, -74.11221, -74.109248, 40.582679, 40.585923, 40.584225, 40.584016, 40.581242, 40.579689, 40.578623, 40.576505, 40.5771, 40.578536, 40.579438, 40.581267, 40.582679)))","white",0.00108459869848156,1,0.5
"51",47114202,"Census Tract 1142.02, Kings County, New York","BROOKLYN",1,2,1933,1549,0.0214285714285714,0.324285714285714,0,0.624285714285714,58576,0.000517330574236937,0.00103466114847387,"list(list(c(-73.894312, -73.891975, -73.892523, -73.89014, -73.889607, -73.888924, -73.888191, -73.889774, -73.892328, -73.893185, -73.893733, -73.894312, 40.681566, 40.682743, 40.683424, 40.685005, 40.684214, 40.683126, 40.682556, 40.681801, 40.680569, 40.680161, 40.680854, 40.681566)))","hispanic",0.000517330574236937,1,1
